,0
0,LA MAR 90B
1,Conf. Urgente S
2,2mn Boya S
3,Boya S
4,Practico S
5,Bocana S
6,Paso Torre
7,Paso A Campa
8,Paso M Sur
9,ADOSSAT 01D
10,ADOSSAT 00A
11,Paso M Contrad.
12,COSTA 21A
13,OESTE 23A
14,PRINCEP D'ESPANYA 28A
15,NOU CONTRADIC C 33C
16,BARCELONETA 13A
17,FONDEIG 90A
18,CONTRADIC (SUD) 22C
19,PESCADORS - BALEARS 10C
20,INFLAMMABLES 32D
21,ALVAREZ DE LA CAMPA 26A
22,DARSENA SUD 30C
23,PONIENTE 20D
24,PRAT 36A
25,Conf. Urgente N
26,4mn Boya N
27,Boya N
28,Practico N
29,Bocana N
30,Paso M Levante
31,Paso WTC
32,BARCELONA 18A
33,CONTRADIC (NORD) 22A
34,INFLAMMABLES 32A
35,MARINA'92 - NOU ESCAR 09A
36,INFLAMMABLES 34B
37,DARSENA INTERIOR A 31A
38,SANT BERTRAN 19A
39,SUD (SUD) 24C
40,DIC SEC 04A
41,MARINA'92 - NOU ESCAR 07B
42,INFLAMMABLES 32G
43,ESPANYA 15A
44,ORIENTAL  03A
45,SUR (EST) 24B
46,SANT BERTRAN 19B
47,CONTRADIC (EST) 22B
48,SUR (NORD) 24A
49,INFLAMMABLES 32F
50,INFLAMMABLES 32E
51,MOLL DEL DIC SEC 03C
52,DARSENA INTERIOR B 31B
53,LEPANTO 27A
54,INFLAMMABLES 32C
55,BARCELONA 18C
56,PONIENTE 20A
57,MARINA'92 - NOU ESCAR 08A
58,DARSENA SUR 30A
59,OCCIDENTAL 05B
60,RELLOTGE 12A
61,SUD (EN ESPERA) 24X
62,MARINA'92 (NORD) 07C
63,INFLAMMABLES 32B
64,Dique SUR
65,MOLL DEL DIC FLOTANT 03B
66,Paso Puente
67,PONIENTE 20C
68,BARCELONA 18B
69,DIPOSIT 14A
70,ESPANYA 15B
71,DARSENA SUR 30B
72,LEPANTO 27B
73,LLEVENT 02C
74,BOSCHI ALSINA 16A
75,P. DE LA PAU - DRASSANES 17B
76,MARINA'92 - NOU ESCAR 07A
77,PESCADORS - BALEARS 10B
78,PESCADORS - BALEARS 11B
79,LLEVANT 02D
80,LLEVANT 02B
81,PONIENTE 20B
82,CATALUNYA 06C
83,INFLAMMABLES 33B
84,PESCADORS - BALEARS 10A
85,First Line
